year	pct	ser_num	datestop	timestop	city	sex	race	dob	age	height	weight	haircolr	eyecolor	build	othfeatr	frisked	searched	contrabn	pistol	riflshot	asltweap	knifcuti	machgun	othrweap	arstmade	arstoffn	sumissue	sumoffen	crimsusp	detailcm	perobs	perstop	pf_hands	pf_wall	pf_grnd	pf_drwep	pf_ptwep	pf_baton	pf_hcuff	pf_pepsp	pf_other	cs_objcs	cs_descr	cs_casng	cs_lkout	cs_cloth	cs_drgtr	cs_furtv	cs_vcrim	cs_bulge	cs_other	rf_vcrim	rf_othsw	rf_attir	rf_vcact	rf_rfcmp	rf_verbl	rf_knowl	rf_furt	rf_bulg	sb_hdobj	sb_outln	sb_admis	sb_other	ac_proxm	ac_evasv	ac_assoc	ac_cgdir	ac_incid	ac_time	ac_stsnd	ac_rept	ac_inves	ac_other	forceuse	inout	trhsloc	premname	addrnum	stname	stinter	crossst	addrpct	sector	beat	post	xcoord	ycoord	typeofid	othpers	explnstp	repcmd	revcmd	offunif	offverb	officrid	offshld	radio	recstat	linecm	#
2014	67	15	1012014	2330	2	1	1	12311900	18	67	150	1	2	3		1	0	0	0	0	0	0	0	0	0		0		FEL	20	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0				CHURCH AVENUE	EAST 39 STREET	67	7			1000633	176542	2	1	1	186	186	0	0	0	1	0	1	1	#
2014	7	26	1032014	1530	1	1	1	12311900	31	67	160	1	2	3		1	1	0	0	0	0	0	0	0	1	PL 170.25	0		CRIMINAL MISCHIEF	23	2	5	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	6	1	2	MEZZANINE (POST 0431)			ESSEX STREET	DELANCEY STREET	7	2	2		987521	201066	1	0	1	863	863	0	1	0	1	0	1	1	#
2014	84	52	1042014	2100	2	1	1	12311900	16	68	160	1	2	4		1	0	0	0	0	0	0	0	0	0		0		GRAND LARCENY (FEL)	45	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0		1	0	HOTEL	224	DUFFIELD STREET	FULTON STREET	WILLOUGHBY STREET	84	6			988579	191174	1	1	1	84	84	0	1	0	1	0	0	1	#
2014	84	13	1092014	1250	2	1	5	12311900	19	67	150	1	2		SMALL	1	0	0	0	0	0	0	0	0	0		0		CRIM TRESPASS	31	1	5	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	1	1	0	0	1	0		1	1	LOBBY	190	YORK STREET	GOLD STREET	BRIDGE STREET	84	4			988827	194808	1	1	1	84	84	1	0	0	0	0	1	1	#
2014	77	19	1092014	1310	2	1	1	12311900	32	70	200	1	2	2		0	0	0	0	0	0	0	0	0	0		0		FEL	46	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0		1	0	STREET			RALPH AVENUE	BERGEN STREET	77	10	1		1005873	185052	1	0	1	187	187	0	1	0	1	0	1	1	#
2014	44	62	1152014	2220	3	1	1	12311900	22	69	160	1	2	3		1	1	0	0	0	0	1	0	0	1	CPW PL 265.01	0		CPW (GRAVITY KNIFE)	20	2	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	1	1	1	0	0	1	0	0	0	0	0	1	0	0	STREET	364	EAST 170 STREET	CLAY AVENUE	TELLER AVENUE	44	18		66	1009416	244229	2	0	1	163	163	1	0	0	0	0	0	1	#
2014	66	61	1172014	2200	2	1	1	12311900	32	72	180	1	2	4		1	0	0	0	0	0	0	0	0	0		0		FEL	20	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0		0	0	STREET			SUBWAY BROOKLYN BMT	55 STREET	66	4					1	0	1	90	90	0	1	0	1	0	0	1	#
2014	79	97	1262014	250	2	1	1	12311900	49	67	160	1	2			0	0	0	0	0	0	0	0	0	1	140.1	0		PL 140.10E	112	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1		1	1	ROOF LANDING	360	NOSTRAND AVENUE	QUINCY STREET	LEXINGTON AVENUE	79	8	7		997847	189692	1	0	1	165	79	1	0	0	0	0	1	1	#
2014	52	70	1302014	2215	3	1	3	12311900	24	69	190	1	2	3		1	0	0	0	0	0	0	0	0	0		0		FELONY	14	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0		1	0	ROOF LADNDING	2532	UNIVERSITY AVENUE	WEST 192 STREET	WEST 190 STREET	52	3			1011120	254774	1	0	1	52	52	0	1	0	1	0	0	1	#
2014	63	38	1312014	2015	2	1	1	12311900	41	70	160	1	2	3		1	0	0	0	0	0	0	0	0	0		0		FEL	14	2	5	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	4	0	0	SIDEWALK			AVENUE M	RYDER STREET	63	6			1001738	165362	2	0	1	186	186	0	1	0	1	0	1	1	#
2014	70	98	2062014	2000	2	1	1	12311900	39	71	190	1	2	1		1	0	0	0	0	0	0	0	0	0		0		FELONY/BURG	14	0	15	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0		0	0	SIDEWALK			ARGYLE ROAD	ALBEMARLE ROAD	70	9	19		993319	174812	1	0	1	70	70	1	0	0	0	1	1	1	#
2014	70	99	2192014	1530	2	1	1	12311900	30	69	160	1	2	4		1	0	0	0	0	0	0	0	0	0		0		MIS/CPW	20	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0		0	0	STREET	2124	DORCHESTER ROAD	EAST 22 STREET	EAST 21 STREET	70	8	18		995980	173264	3	1	1	70	318	0	1	0	1	1	1	1	#
2014	106	331	2202014	2150	4	1	3	12311900	20	66	150	1	2	4		1	1	0	0	0	0	0	0	0	0		0		MISD	27	1	10	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	VEHICLE			135 STREET	111 AVENUE	106	7			1037497	188639	1	1	1	106	106	1	0	0	0	1	1	1	#
2014	67	450	3012014	2345	2	1	1	12311900	22	67	190	1	2	3		0	0	0	0	0	0	0	0	0	0		0		MISD	27	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0		0	0	STREET			NOSTRAND AVENUE	MARTENSE STREET	67	1			998216	176711	1	1	1	186	76	0	1	0	1	0	1	1	#
2014	67	451	3012014	2345	2	1	1	12311900	1	68	160	1	2	3		1	0	0	0	0	0	0	0	0	0		0		MISD	27	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0		0	0	STREET			NOSTRAND AVENUE	MARTENSE STREET	67	1			998216	176711	3	0	1	186	76	0	1	0	1	0	1	1	#
2014	110	54	3062014	2215	4	1	3	12311900	48	69	200	1	2	3		1	0	0	0	0	0	0	0	0	1	ROBBERY/CRIMINAL	0		CRIMINAL MISCHIEF	23	1	4	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	1	0	7 TRAIN PLATFORM			ROOSEVELT AVENUE	82 STREET	110	1			1016409	211680	1	0	1	110	110	1	0	0	0	0	0	1	#
