year	pct	ser_num	datestop	timestop	city	sex	race	dob	age	height	weight	haircolr	eyecolor	build	othfeatr	frisked	searched	contrabn	pistol	riflshot	asltweap	knifcuti	machgun	othrweap	arstmade	arstoffn	sumissue	sumoffen	crimsusp	detailcm	perobs	perstop	pf_hands	pf_wall	pf_grnd	pf_drwep	pf_ptwep	pf_baton	pf_hcuff	pf_pepsp	pf_other	cs_objcs	cs_descr	cs_casng	cs_lkout	cs_cloth	cs_drgtr	cs_furtv	cs_vcrim	cs_bulge	cs_other	rf_vcrim	rf_othsw	rf_attir	rf_vcact	rf_rfcmp	rf_verbl	rf_knowl	rf_furt	rf_bulg	sb_hdobj	sb_outln	sb_admis	sb_other	ac_proxm	ac_evasv	ac_assoc	ac_cgdir	ac_incid	ac_time	ac_stsnd	ac_rept	ac_inves	ac_other	forceuse	inout	trhsloc	premname	addrnum	stname	stinter	crossst	addrpct	sector	beat	post	xcoord	ycoord	typeofid	othpers	explnstp	repcmd	revcmd	offunif	offverb	officrid	offshld	radio	recstat	linecm	#
2014	101	774	5092014	1155	4	1	1	12311900	24	69	150	1	2	4		1	0	0	0	0	0	0	0	0	0		0		CPW	20	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0		0	0	SIDEWALK			ARVERNE BOULEVARD	BEACH 56 STREET	101	7			1043677	155192	2	0	1	101	101	1	0	0	0	0	1	1	#
2014	71	581	10022014	1950	2	1	1	12311900	11	54	70	1	2	4		0	0	0	0	0	0	0	0	0	0		0		MISD	23	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	0	1	0	0		0	0	PUBLIC STREET		UTICA AVENUE	CARROLL STREET	CROWN STREET	71	8	11		1003266	181646	2	1	1	71	71	1	0	0	0	0	0	1	#
2014	33	173	7022014	15	1	1	2	12311900	49	70	190	1	2	3		1	0	0						1	0		0		FEL	14	2	5												1		1				1										1									1	1						0	0	COMMERCIAL BLDG			FORT WASHINGTON AVENUE	WEST 178 STREET	33	4	10		1001067	248482	2	0	1	137	137	1	0	0	0	0	0	1	#
2014	26	65	2282014	1830	1	1	1	12311900	16	70	160	1	2	3		1	0	0	0	0	0	0	0	0	0		0		ASSAULT	9	1	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	1	1	0	1	0	0		0	1	PUBLIC STREET	545	WEST 126 STREET	BROADWAY	WEST 129 STREET	26	5			996146	236454	1	1	1	26	26	0	1	0	1	1	1	1	#
2014	60	50	1232014	1500	2	1	1	12311900	23	71	160	2	2	3		1	1	0	0	0	0	0	0	0	0		1	DISCON	FELONY	28	1	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	3	0	1	SIDEWALK	2007	SURF AVENUE	WEST 21 STREET	WEST 20 STREET	60	6			987914	148708	1	0	1	801	801	0	1	0	1	0	1	1	#
2014	120	428	2152014	1210	5	0	1	12311900	30	65	145	1	2	4		0	0	0	0	0	0	0	0	0	0		0		GLA	46	3	5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0		0	0	STREET			GORDON STREET	BROAD STREET	120	3			961273	166477	1	0	1	120	120	0	0	0	1	0	0	1	#
2014	122	547	7182014	1900	5	1	4	12311900	31	71	200	2	2	4		0	0	0							0		0		"GLA, PETIT LARCENY"	46	2	20	1											1																					1			1	1	1			1		1	0	0	STREET			OLYMPIA BOULEVARD	SAND LANE	122	8			965276	155252	1	0	1	122	122	1	0	0	0	0	1	1	#
2014	120	564	3082014	1405	5	1	1	12311900	19	69	150	1	2	3		0	0	0	0	0	0	0	0	0	0		0		ROBBERY	85	3	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0		0	0	SIDEWALK			GORDON STREET	BROAD STREET	120	3			961273	166477	2	0	1	120	120	0	0	0	1	0	0	1	#
2014	42	274	4292014	2351	3	1	3	12311900	18	69	120	1	1			1	0	0	0	0	0	0	0	0	0		0		CPW	20	5	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0		0	0	SIDEWALK	1174	FULTON AVENUE	EAST 168 STREET	EAST 167 STREET	42	7		5	1010490	241538	1	0	1	42	42	1	0	0	0	1	0	1	#
2014	44	270	3102014	2100	3	1	1	12311900	34	74	205	1	2	3		0	0	0	0	0	0	0	0	0	0		0		CPM	27	1	10	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	BUSINESS	108	EAST 170 STREET	GRAND CONCOURSE	WALTON AVENUE	44	16		67	1007583	245132	1	0	1	163	163	1	0	0	0	0	0	1	#
